Customer ID,Gender,Age,Tenure Months,Contract,Internet Service,Payment Method,Tech Support,Paperless Billing,Monthly Charges,Churn,Annual Revenue,Customer Segment
CUST-00023,Male,54,45,Month-to-month,No internet,Bank transfer,No,Yes,22.89,No,274.68,25-48 Months
CUST-00024,Female,40,39,Month-to-month,Fiber optic,Mailed check,Yes,Yes,76.73,No,920.76,25-48 Months
CUST-00025,Female,64,6,Month-to-month,DSL,Credit card,No,No,67.87,No,814.44,0-6 Months
CUST-00026,Female,24,15,Month-to-month,Fiber optic,Mailed check,No,No,89.59,No,1075.08,13-24 Months
CUST-00027,Male,31,70,One year,DSL,Credit card,No,Yes,95.93,Yes,1151.16,49-72 Months
CUST-00028,Female,23,53,One year,Fiber optic,Credit card,No,No,39.24,No,470.88,49-72 Months
CUST-00029,Female,55,55,Month-to-month,DSL,Mailed check,Yes,Yes,107.85,No,1294.2,49-72 Months
CUST-00030,Male,30,15,Month-to-month,Fiber optic,Mailed check,Yes,No,62.11,No,745.32,13-24 Months
CUST-00031,Male,34,5,Month-to-month,Fiber optic,Bank transfer,No,No,89.02,No,1068.24,0-6 Months
CUST-00032,Male,62,21,Month-to-month,DSL,Bank transfer,No,Yes,64.68,Yes,776.16,13-24 Months
CUST-00033,Male,37,62,Month-to-month,Fiber optic,Electronic check,No,No,97.83,No,1173.96,49-72 Months
CUST-00034,Female,25,37,Month-to-month,DSL,Electronic check,Yes,Yes,20.0,No,240.0,25-48 Months
CUST-00035,Female,19,57,Month-to-month,Fiber optic,Electronic check,No,No,92.67,No,1112.04,49-72 Months
CUST-00036,Male,30,36,Two year,No internet,Bank transfer,No,Yes,48.71,No,584.52,25-48 Months
CUST-00037,Female,66,36,Month-to-month,Fiber optic,Bank transfer,No,Yes,74.06,Yes,888.72,25-48 Months
CUST-00038,Female,47,44,Two year,DSL,Electronic check,No,No,106.85,No,1282.2,25-48 Months
CUST-00039,Male,70,70,Month-to-month,DSL,Mailed check,No,Yes,49.51,No,594.12,49-72 Months
CUST-00040,Female,29,32,Month-to-month,DSL,Bank transfer,No,Yes,45.12,Yes,541.44,25-48 Months
CUST-00041,Male,36,43,Two year,Fiber optic,Credit card,No,No,61.58,No,738.96,25-48 Months
CUST-00042,Female,26,67,Month-to-month,DSL,Electronic check,No,Yes,59.82,No,717.84,49-72 Months
CUST-00043,Female,39,27,One year,Fiber optic,Electronic check,No,Yes,42.6,No,511.2,25-48 Months
CUST-00044,Male,47,61,Two year,DSL,Mailed check,No,Yes,74.98,No,899.76,49-72 Months
CUST-00045,Male,60,39,One year,Fiber optic,Bank transfer,No,Yes,76.43,No,917.16,25-48 Months
CUST-00046,Female,37,64,Month-to-month,DSL,Electronic check,No,No,84.96,Yes,1019.52,49-72 Months
CUST-00047,Male,58,34,Month-to-month,DSL,Electronic check,No,Yes,49.05,No,588.6,25-48 Months
CUST-00048,Female,51,46,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,45.57,No,546.84,25-48 Months
CUST-00049,Female,33,24,Month-to-month,Fiber optic,Mailed check,No,Yes,68.68,No,824.16,13-24 Months
CUST-00050,Female,66,46,Month-to-month,Fiber optic,Electronic check,No,Yes,65.14,No,781.68,25-48 Months
CUST-00051,Female,41,24,Two year,DSL,Mailed check,No,Yes,65.68,No,788.16,13-24 Months
CUST-00052,Male,26,44,One year,Fiber optic,Electronic check,No,Yes,52.2,No,626.4,25-48 Months
CUST-00053,Male,69,57,Month-to-month,DSL,Mailed check,No,Yes,81.24,No,974.88,49-72 Months
CUST-00054,Male,66,32,Month-to-month,DSL,Mailed check,No,No,45.61,No,547.32,25-48 Months
CUST-00055,Male,20,31,One year,No internet,Electronic check,Yes,Yes,68.58,No,822.96,25-48 Months
CUST-00056,Male,65,24,Two year,Fiber optic,Electronic check,No,Yes,63.42,No,761.04,13-24 Months
CUST-00057,Female,68,53,Month-to-month,Fiber optic,Credit card,No,Yes,71.06,Yes,852.72,49-72 Months
CUST-00058,Male,61,43,Month-to-month,Fiber optic,Credit card,No,Yes,105.19,Yes,1262.28,25-48 Months
CUST-00059,Female,31,38,Two year,DSL,Electronic check,No,No,35.19,No,422.28,25-48 Months
CUST-00060,Female,51,2,Two year,Fiber optic,Bank transfer,No,Yes,20.0,Yes,240.0,0-6 Months
CUST-00061,Female,46,8,Two year,Fiber optic,Electronic check,No,Yes,55.36,No,664.32,7-12 Months
CUST-00062,Female,50,1,Month-to-month,Fiber optic,Credit card,No,Yes,39.76,No,477.12,0-6 Months
CUST-00063,Male,50,62,Month-to-month,DSL,Credit card,No,Yes,20.0,Yes,240.0,49-72 Months
CUST-00064,Female,51,62,Month-to-month,No internet,Bank transfer,Yes,Yes,120.9,No,1450.8,49-72 Months
CUST-00065,Male,45,5,Month-to-month,Fiber optic,Bank transfer,No,Yes,87.67,Yes,1052.04,0-6 Months
CUST-00066,Male,54,4,Two year,Fiber optic,Mailed check,Yes,No,90.68,No,1088.16,0-6 Months
CUST-00067,Female,45,57,Month-to-month,Fiber optic,Electronic check,No,No,64.01,Yes,768.12,49-72 Months
CUST-00068,Male,18,38,One year,Fiber optic,Mailed check,No,Yes,83.78,Yes,1005.36,25-48 Months
CUST-00069,Male,19,23,Two year,No internet,Electronic check,No,Yes,60.17,Yes,722.04,13-24 Months
CUST-00070,Male,68,45,Two year,DSL,Bank transfer,No,Yes,94.8,No,1137.6,25-48 Months
CUST-00071,Female,66,18,One year,DSL,Mailed check,No,No,77.29,No,927.48,13-24 Months
CUST-00072,Male,49,15,Two year,No internet,Electronic check,No,Yes,70.98,No,851.76,13-24 Months
CUST-00073,Male,27,27,Month-to-month,DSL,Bank transfer,Yes,Yes,73.09,Yes,877.08,25-48 Months
CUST-00074,Male,59,65,Month-to-month,Fiber optic,Credit card,No,Yes,113.03,No,1356.36,49-72 Months
CUST-00075,Female,25,56,Month-to-month,DSL,Bank transfer,No,Yes,76.69,No,920.28,49-72 Months
CUST-00076,Male,37,14,Two year,Fiber optic,Mailed check,No,No,43.17,No,518.04,13-24 Months
CUST-00077,Male,35,41,Two year,Fiber optic,Credit card,No,Yes,81.41,No,976.92,25-48 Months
CUST-00078,Male,18,64,Month-to-month,No internet,Electronic check,No,Yes,85.69,No,1028.28,49-72 Months
CUST-00079,Female,60,69,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,67.95,No,815.4,49-72 Months
CUST-00080,Female,45,55,Month-to-month,DSL,Mailed check,No,No,70.54,No,846.48,49-72 Months
CUST-00081,Female,34,10,Month-to-month,Fiber optic,Electronic check,Yes,No,42.15,Yes,505.8,7-12 Months
CUST-00082,Male,44,18,Two year,Fiber optic,Credit card,No,Yes,74.72,Yes,896.64,13-24 Months
CUST-00083,Male,18,16,Month-to-month,DSL,Mailed check,No,Yes,37.99,Yes,455.88,13-24 Months
CUST-00084,Female,41,11,One year,DSL,Electronic check,No,Yes,64.98,No,779.76,7-12 Months
CUST-00085,Female,45,13,One year,DSL,Electronic check,Yes,No,53.26,No,639.12,13-24 Months
CUST-00086,Female,36,23,Month-to-month,Fiber optic,Credit card,No,No,99.52,No,1194.24,13-24 Months
CUST-00087,Male,62,40,Month-to-month,Fiber optic,Credit card,No,Yes,115.4,No,1384.8,25-48 Months
CUST-00088,Male,31,29,Two year,DSL,Electronic check,No,Yes,39.96,Yes,479.52,25-48 Months
CUST-00089,Female,25,31,One year,DSL,Bank transfer,No,Yes,71.87,No,862.44,25-48 Months
CUST-00090,Female,45,18,Month-to-month,DSL,Electronic check,No,Yes,63.31,No,759.72,13-24 Months
CUST-00091,Male,65,11,Month-to-month,DSL,Bank transfer,Yes,No,85.0,Yes,1020.0,7-12 Months
CUST-00092,Female,37,72,Two year,No internet,Mailed check,No,No,74.69,No,896.28,49-72 Months
CUST-00093,Female,20,44,Two year,DSL,Electronic check,Yes,Yes,61.15,Yes,733.8,25-48 Months
CUST-00094,Male,69,17,Two year,Fiber optic,Mailed check,No,No,74.63,No,895.56,13-24 Months
CUST-00095,Female,41,59,One year,DSL,Credit card,No,No,65.99,No,791.88,49-72 Months
CUST-00096,Male,27,60,Two year,DSL,Mailed check,Yes,Yes,116.5,No,1398.0,49-72 Months
CUST-00097,Male,50,70,Month-to-month,No internet,Electronic check,Yes,Yes,49.78,No,597.36,49-72 Months
CUST-00098,Female,34,12,One year,Fiber optic,Credit card,No,No,79.21,No,950.52,7-12 Months
CUST-00099,Female,67,47,Month-to-month,DSL,Electronic check,No,Yes,86.27,No,1035.24,25-48 Months
CUST-00100,Male,33,71,One year,Fiber optic,Mailed check,No,No,84.28,No,1011.36,49-72 Months
CUST-00101,Female,47,59,Two year,DSL,Mailed check,No,Yes,63.66,No,763.92,49-72 Months
CUST-00102,Male,46,17,Two year,No internet,Electronic check,No,No,110.31,Yes,1323.72,13-24 Months
CUST-00103,Female,30,65,Month-to-month,No internet,Electronic check,No,Yes,20.0,No,240.0,49-72 Months
CUST-00104,Male,44,31,One year,Fiber optic,Electronic check,No,Yes,41.37,No,496.44,25-48 Months
CUST-00105,Female,23,36,Two year,Fiber optic,Electronic check,No,No,90.58,No,1086.96,25-48 Months
CUST-00106,Female,52,41,Two year,DSL,Mailed check,No,Yes,47.36,No,568.32,25-48 Months
CUST-00107,Female,58,56,One year,DSL,Credit card,Yes,Yes,45.72,No,548.64,49-72 Months
CUST-00108,Female,68,9,Month-to-month,No internet,Electronic check,No,Yes,58.92,Yes,707.04,7-12 Months
CUST-00109,Male,35,39,Month-to-month,Fiber optic,Bank transfer,No,Yes,50.0,No,600.0,25-48 Months
CUST-00110,Female,33,59,Two year,DSL,Mailed check,No,Yes,89.84,No,1078.08,49-72 Months
CUST-00111,Male,47,40,One year,DSL,Electronic check,No,Yes,97.32,No,1167.84,25-48 Months
CUST-00112,Female,54,20,One year,Fiber optic,Mailed check,Yes,Yes,74.47,No,893.64,13-24 Months
CUST-00113,Female,70,5,One year,Fiber optic,Electronic check,No,Yes,101.53,No,1218.36,0-6 Months
CUST-00114,Male,19,40,Month-to-month,DSL,Bank transfer,No,Yes,33.18,Yes,398.16,25-48 Months
CUST-00115,Female,30,51,Month-to-month,Fiber optic,Mailed check,No,No,74.12,Yes,889.44,49-72 Months
CUST-00116,Female,31,40,Two year,DSL,Bank transfer,No,Yes,109.74,No,1316.88,25-48 Months
CUST-00117,Male,31,71,Month-to-month,DSL,Credit card,No,No,99.35,Yes,1192.2,49-72 Months
CUST-00118,Male,42,44,One year,DSL,Electronic check,No,Yes,112.22,Yes,1346.64,25-48 Months
CUST-00119,Male,64,37,One year,Fiber optic,Credit card,Yes,Yes,55.48,No,665.76,25-48 Months
CUST-00120,Male,19,4,Two year,No internet,Electronic check,No,Yes,97.68,No,1172.16,0-6 Months
CUST-00121,Male,61,41,Month-to-month,DSL,Electronic check,No,Yes,60.05,No,720.6,25-48 Months
CUST-00122,Female,50,13,One year,DSL,Electronic check,Yes,Yes,88.66,No,1063.92,13-24 Months
CUST-00123,Female,50,53,Month-to-month,DSL,Credit card,Yes,No,108.7,Yes,1304.4,49-72 Months
CUST-00124,Male,53,12,Month-to-month,DSL,Bank transfer,Yes,Yes,49.77,No,597.24,7-12 Months
CUST-00125,Female,24,66,Month-to-month,No internet,Credit card,No,Yes,20.04,No,240.48,49-72 Months
CUST-00126,Female,57,22,Month-to-month,DSL,Bank transfer,Yes,No,123.73,No,1484.76,13-24 Months
CUST-00127,Male,31,32,Two year,DSL,Mailed check,No,Yes,85.67,No,1028.04,25-48 Months
CUST-00128,Female,45,11,Two year,Fiber optic,Credit card,No,No,69.0,No,828.0,7-12 Months
CUST-00129,Female,53,16,Month-to-month,Fiber optic,Credit card,No,Yes,67.46,Yes,809.52,13-24 Months
CUST-00130,Female,50,67,Two year,DSL,Credit card,Yes,Yes,20.0,No,240.0,49-72 Months
CUST-00131,Female,35,21,Month-to-month,Fiber optic,Mailed check,No,Yes,77.84,No,934.08,13-24 Months
CUST-00132,Female,38,37,One year,DSL,Credit card,No,Yes,57.14,No,685.68,25-48 Months
CUST-00133,Male,43,71,Two year,No internet,Electronic check,No,Yes,73.47,No,881.64,49-72 Months
CUST-00134,Female,20,45,One year,Fiber optic,Credit card,No,No,72.85,No,874.2,25-48 Months
CUST-00135,Female,56,3,Month-to-month,Fiber optic,Credit card,No,Yes,20.0,No,240.0,0-6 Months
CUST-00136,Male,23,26,Month-to-month,DSL,Bank transfer,No,No,85.72,No,1028.64,25-48 Months
CUST-00137,Female,42,28,Month-to-month,Fiber optic,Electronic check,No,Yes,77.29,Yes,927.48,25-48 Months
CUST-00138,Male,52,20,Two year,DSL,Electronic check,No,Yes,81.05,No,972.6,13-24 Months
CUST-00139,Male,22,18,One year,DSL,Credit card,No,Yes,66.86,No,802.32,13-24 Months
CUST-00140,Male,70,37,Month-to-month,DSL,Credit card,No,No,73.37,No,880.44,25-48 Months
CUST-00141,Female,37,28,Month-to-month,DSL,Bank transfer,No,Yes,76.84,No,922.08,25-48 Months
CUST-00142,Male,18,22,Two year,DSL,Credit card,No,No,79.68,No,956.16,13-24 Months
CUST-00143,Male,52,30,Month-to-month,Fiber optic,Mailed check,No,Yes,85.32,No,1023.84,25-48 Months
CUST-00144,Male,47,25,One year,Fiber optic,Credit card,No,No,79.92,No,959.04,25-48 Months
CUST-00145,Female,51,17,One year,Fiber optic,Electronic check,No,No,123.79,No,1485.48,13-24 Months
CUST-00146,Female,57,33,Month-to-month,No internet,Electronic check,No,No,51.67,No,620.04,25-48 Months
CUST-00147,Male,43,68,Month-to-month,Fiber optic,Mailed check,No,Yes,61.5,No,738.0,49-72 Months
CUST-00148,Male,61,37,Month-to-month,Fiber optic,Electronic check,No,Yes,119.4,No,1432.8,25-48 Months
CUST-00149,Female,37,44,Month-to-month,Fiber optic,Mailed check,No,No,67.67,No,812.04,25-48 Months
CUST-00150,Male,46,71,One year,Fiber optic,Credit card,Yes,Yes,98.09,No,1177.08,49-72 Months
CUST-00151,Female,26,45,Two year,Fiber optic,Electronic check,No,Yes,75.79,No,909.48,25-48 Months
CUST-00152,Male,50,17,Month-to-month,DSL,Bank transfer,No,No,65.62,No,787.44,13-24 Months
CUST-00153,Female,31,29,Month-to-month,Fiber optic,Electronic check,No,No,99.61,No,1195.32,25-48 Months
CUST-00154,Male,54,36,Month-to-month,DSL,Credit card,No,Yes,86.52,No,1038.24,25-48 Months
CUST-00155,Male,60,35,Month-to-month,Fiber optic,Electronic check,No,No,29.05,Yes,348.6,25-48 Months
CUST-00156,Female,63,11,One year,DSL,Bank transfer,No,Yes,76.86,No,922.32,7-12 Months
CUST-00157,Male,67,8,One year,Fiber optic,Bank transfer,Yes,Yes,44.14,No,529.68,7-12 Months
CUST-00158,Female,24,26,One year,DSL,Mailed check,No,Yes,107.59,No,1291.08,25-48 Months
CUST-00159,Female,25,66,Month-to-month,No internet,Electronic check,No,No,121.1,Yes,1453.2,49-72 Months
CUST-00160,Female,67,52,One year,Fiber optic,Electronic check,No,No,124.47,No,1493.64,49-72 Months
CUST-00161,Female,38,61,Month-to-month,No internet,Mailed check,No,No,82.01,No,984.12,49-72 Months
CUST-00162,Female,19,13,Two year,Fiber optic,Electronic check,No,Yes,59.08,No,708.96,13-24 Months
CUST-00163,Male,33,30,One year,DSL,Electronic check,No,No,81.01,No,972.12,25-48 Months
CUST-00164,Male,62,42,Two year,DSL,Bank transfer,No,Yes,45.69,Yes,548.28,25-48 Months
CUST-00165,Male,36,32,Month-to-month,Fiber optic,Electronic check,Yes,Yes,137.67,Yes,1652.04,25-48 Months
CUST-00166,Female,22,31,Month-to-month,Fiber optic,Electronic check,No,No,105.44,No,1265.28,25-48 Months
CUST-00167,Male,56,26,One year,Fiber optic,Mailed check,No,No,80.53,No,966.36,25-48 Months
CUST-00168,Male,28,4,Month-to-month,DSL,Mailed check,No,No,99.92,No,1199.04,0-6 Months
CUST-00169,Male,36,62,One year,Fiber optic,Mailed check,No,No,58.23,No,698.76,49-72 Months
CUST-00170,Male,18,68,Month-to-month,No internet,Bank transfer,No,Yes,40.98,No,491.76,49-72 Months
CUST-00171,Male,49,6,Two year,Fiber optic,Bank transfer,No,Yes,20.0,Yes,240.0,0-6 Months
CUST-00172,Male,41,30,Month-to-month,No internet,Mailed check,No,No,74.33,No,891.96,25-48 Months
CUST-00173,Female,63,38,Two year,Fiber optic,Mailed check,Yes,Yes,66.17,No,794.04,25-48 Months
CUST-00174,Female,35,57,Month-to-month,DSL,Electronic check,No,No,86.54,No,1038.48,49-72 Months
CUST-00175,Female,28,72,Month-to-month,Fiber optic,Bank transfer,No,Yes,72.37,No,868.44,49-72 Months
CUST-00176,Male,26,30,Month-to-month,Fiber optic,Electronic check,No,Yes,85.27,Yes,1023.24,25-48 Months
CUST-00177,Female,28,54,Month-to-month,Fiber optic,Credit card,No,No,94.71,No,1136.52,49-72 Months
CUST-00178,Male,41,68,Two year,DSL,Bank transfer,No,No,31.11,No,373.32,49-72 Months
CUST-00179,Female,22,60,Two year,Fiber optic,Bank transfer,No,Yes,96.33,No,1155.96,49-72 Months
CUST-00180,Female,39,21,Two year,DSL,Mailed check,No,Yes,60.62,No,727.44,13-24 Months
CUST-00181,Female,63,59,Two year,No internet,Credit card,No,Yes,86.49,No,1037.88,49-72 Months
CUST-00182,Male,58,30,One year,Fiber optic,Mailed check,No,Yes,100.62,No,1207.44,25-48 Months
CUST-00183,Male,51,2,Month-to-month,Fiber optic,Mailed check,No,No,100.81,Yes,1209.72,0-6 Months
CUST-00184,Female,65,55,Two year,Fiber optic,Credit card,Yes,Yes,75.62,No,907.44,49-72 Months
CUST-00185,Male,59,61,Month-to-month,Fiber optic,Bank transfer,No,Yes,77.0,No,924.0,49-72 Months
CUST-00186,Male,52,25,Two year,DSL,Mailed check,No,No,96.97,Yes,1163.64,25-48 Months
CUST-00187,Male,63,33,Month-to-month,DSL,Electronic check,No,No,29.97,No,359.64,25-48 Months
CUST-00188,Male,24,27,One year,Fiber optic,Electronic check,No,Yes,45.36,No,544.32,25-48 Months
CUST-00189,Male,61,9,Month-to-month,Fiber optic,Credit card,Yes,No,64.18,No,770.16,7-12 Months
CUST-00190,Male,33,72,Month-to-month,DSL,Electronic check,No,Yes,34.68,No,416.16,49-72 Months
CUST-00191,Female,56,2,Month-to-month,Fiber optic,Electronic check,No,Yes,64.39,No,772.68,0-6 Months
CUST-00192,Female,66,41,Month-to-month,DSL,Electronic check,No,No,62.86,Yes,754.32,25-48 Months
CUST-00193,Female,44,2,Month-to-month,No internet,Credit card,No,Yes,74.44,No,893.28,0-6 Months
CUST-00194,Male,22,50,Month-to-month,Fiber optic,Mailed check,Yes,No,70.41,Yes,844.92,49-72 Months
CUST-00195,Female,37,65,Month-to-month,DSL,Mailed check,No,Yes,101.94,No,1223.28,49-72 Months
CUST-00196,Male,39,47,One year,DSL,Credit card,No,No,88.04,No,1056.48,25-48 Months
CUST-00197,Male,67,44,Month-to-month,DSL,Mailed check,No,Yes,70.01,No,840.12,25-48 Months
CUST-00198,Male,67,60,Two year,DSL,Credit card,Yes,Yes,62.67,No,752.04,49-72 Months
CUST-00199,Male,48,71,Month-to-month,DSL,Bank transfer,Yes,No,70.67,No,848.04,49-72 Months
CUST-00200,Female,68,63,One year,DSL,Mailed check,No,No,71.16,No,853.92,49-72 Months
CUST-00201,Male,41,17,Month-to-month,DSL,Bank transfer,No,No,142.53,No,1710.36,13-24 Months
CUST-00202,Female,39,41,Month-to-month,DSL,Credit card,No,Yes,31.19,No,374.28,25-48 Months
CUST-00203,Male,62,59,One year,DSL,Electronic check,Yes,Yes,46.06,No,552.72,49-72 Months
CUST-00204,Female,53,22,One year,DSL,Electronic check,No,Yes,41.96,Yes,503.52,13-24 Months
CUST-00205,Male,45,49,Month-to-month,Fiber optic,Credit card,No,Yes,79.54,No,954.48,49-72 Months
CUST-00206,Male,42,2,Month-to-month,DSL,Mailed check,No,Yes,78.43,No,941.16,0-6 Months
CUST-00207,Female,55,64,Month-to-month,Fiber optic,Mailed check,No,No,55.95,Yes,671.4,49-72 Months
CUST-00208,Female,57,45,Month-to-month,Fiber optic,Electronic check,No,Yes,97.09,No,1165.08,25-48 Months
CUST-00209,Male,44,54,Month-to-month,Fiber optic,Credit card,Yes,Yes,82.35,Yes,988.2,49-72 Months
CUST-00210,Female,19,60,One year,Fiber optic,Bank transfer,No,No,98.27,Yes,1179.24,49-72 Months
CUST-00211,Male,23,16,Month-to-month,DSL,Credit card,No,No,105.7,No,1268.4,13-24 Months
CUST-00212,Female,25,33,One year,Fiber optic,Mailed check,No,Yes,20.0,Yes,240.0,25-48 Months
CUST-00213,Female,42,62,Month-to-month,DSL,Credit card,Yes,No,91.2,No,1094.4,49-72 Months
CUST-00214,Male,50,12,Month-to-month,DSL,Mailed check,No,No,35.88,No,430.56,7-12 Months
CUST-00215,Female,60,60,Month-to-month,Fiber optic,Bank transfer,No,Yes,78.98,No,947.76,49-72 Months
CUST-00216,Male,30,21,Month-to-month,Fiber optic,Bank transfer,No,No,69.96,No,839.52,13-24 Months
CUST-00217,Male,59,42,Month-to-month,DSL,Mailed check,No,No,71.15,No,853.8,25-48 Months
CUST-00218,Male,53,37,Two year,DSL,Bank transfer,No,No,38.27,No,459.24,25-48 Months
CUST-00219,Male,20,50,One year,Fiber optic,Electronic check,No,Yes,100.85,Yes,1210.2,49-72 Months
CUST-00220,Female,36,61,Month-to-month,Fiber optic,Mailed check,No,Yes,35.87,Yes,430.44,49-72 Months
CUST-00221,Male,34,26,Month-to-month,Fiber optic,Bank transfer,No,No,93.01,No,1116.12,25-48 Months
CUST-00222,Male,64,13,Two year,Fiber optic,Electronic check,No,Yes,31.91,No,382.92,13-24 Months
CUST-00223,Female,66,31,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,71.5,No,858.0,25-48 Months
CUST-00224,Male,61,45,Month-to-month,No internet,Electronic check,No,Yes,122.52,No,1470.24,25-48 Months
CUST-00225,Female,45,55,Two year,Fiber optic,Electronic check,No,No,138.13,No,1657.56,49-72 Months
CUST-00226,Male,44,55,Month-to-month,Fiber optic,Bank transfer,No,Yes,26.68,No,320.16,49-72 Months
CUST-00227,Female,34,25,Month-to-month,No internet,Electronic check,No,No,52.27,No,627.24,25-48 Months
CUST-00228,Female,58,68,Month-to-month,DSL,Credit card,No,Yes,57.37,No,688.44,49-72 Months
CUST-00229,Female,22,6,One year,Fiber optic,Credit card,No,No,135.14,No,1621.68,0-6 Months
CUST-00230,Male,32,9,Month-to-month,DSL,Mailed check,No,Yes,70.09,Yes,841.08,7-12 Months
CUST-00231,Male,25,2,One year,No internet,Mailed check,Yes,No,102.09,No,1225.08,0-6 Months
CUST-00232,Female,44,67,Month-to-month,Fiber optic,Electronic check,No,No,80.39,Yes,964.68,49-72 Months
CUST-00233,Male,33,13,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,38.42,No,461.04,13-24 Months
CUST-00234,Female,28,44,Month-to-month,DSL,Electronic check,No,Yes,20.0,No,240.0,25-48 Months
CUST-00235,Male,37,59,Two year,DSL,Credit card,No,No,54.83,No,657.96,49-72 Months
CUST-00236,Female,63,56,Month-to-month,No internet,Credit card,No,No,136.87,Yes,1642.44,49-72 Months
CUST-00237,Female,47,69,One year,Fiber optic,Electronic check,No,Yes,79.21,Yes,950.52,49-72 Months
CUST-00238,Male,61,4,Month-to-month,No internet,Bank transfer,Yes,Yes,101.52,No,1218.24,0-6 Months
CUST-00239,Male,66,30,Month-to-month,Fiber optic,Mailed check,Yes,No,32.29,Yes,387.48,25-48 Months
CUST-00240,Female,65,37,Month-to-month,DSL,Mailed check,No,No,62.89,No,754.68,25-48 Months
CUST-00241,Male,36,51,Month-to-month,No internet,Electronic check,No,Yes,93.81,No,1125.72,49-72 Months
CUST-00242,Female,64,45,Month-to-month,Fiber optic,Bank transfer,No,Yes,41.45,Yes,497.4,25-48 Months
CUST-00243,Male,66,41,Two year,Fiber optic,Electronic check,No,Yes,70.21,No,842.52,25-48 Months
CUST-00244,Female,68,23,Two year,DSL,Credit card,No,No,47.37,Yes,568.44,13-24 Months
CUST-00245,Female,36,8,One year,DSL,Mailed check,No,No,95.14,No,1141.68,7-12 Months
CUST-00246,Male,30,32,One year,Fiber optic,Bank transfer,No,Yes,83.16,Yes,997.92,25-48 Months
CUST-00247,Female,48,19,Month-to-month,DSL,Credit card,No,Yes,91.13,Yes,1093.56,13-24 Months
CUST-00248,Male,67,40,One year,Fiber optic,Bank transfer,No,Yes,96.39,No,1156.68,25-48 Months
CUST-00249,Female,65,58,Month-to-month,Fiber optic,Mailed check,No,Yes,65.63,No,787.56,49-72 Months
CUST-00250,Male,48,40,Two year,Fiber optic,Mailed check,Yes,No,100.09,No,1201.08,25-48 Months
CUST-00251,Male,25,42,Two year,No internet,Mailed check,No,No,55.48,No,665.76,25-48 Months
CUST-00252,Male,40,4,Month-to-month,Fiber optic,Mailed check,No,Yes,89.52,No,1074.24,0-6 Months
CUST-00253,Male,55,47,Two year,DSL,Credit card,No,Yes,20.0,No,240.0,25-48 Months
CUST-00254,Male,47,32,Two year,Fiber optic,Electronic check,No,Yes,51.1,No,613.2,25-48 Months
CUST-00255,Female,36,9,Month-to-month,No internet,Mailed check,No,No,136.84,No,1642.08,7-12 Months
